"usageType","usageUnit","serviceName"
"USE2-Fargate-ARM-GB-Hours","hours","AmazonECS"
"USE2-Fargate-ARM-vCPU-Hours:perCPU","hours","AmazonECS"
"USE2-Fargate-GB-Hours","hours","AmazonECS"
"USW1-Fargate-ARM-GB-Hours","hours","AmazonECS"
"USW1-Fargate-ARM-vCPU-Hours:perCPU","hours","AmazonECS"
"USW1-Fargate-GB-Hours","hours","AmazonECS"
"USW2-Fargate-ARM-GB-Hours","hours","AmazonECS"
"USW2-Fargate-ARM-vCPU-Hours:perCPU","hours","AmazonECS"
"USW2-Fargate-GB-Hours","hours","AmazonECS"
"APE1-Fargate-GB-Hours","hours","AmazonEKS"
"APN1-AmazonEKS-Hours:extendedSupport","Hours","AmazonEKS"
"APN1-EKS-Auto:c5a.large-management-hours","hours","AmazonEKS"
"APN1-EKS-Auto:c6g.large-management-hours","hours","AmazonEKS"
"APN1-Fargate-GB-Hours","hours","AmazonEKS"
"APN2-AmazonEKS-Hours:extendedSupport","Hours","AmazonEKS"
"APN2-EKS-Auto:c5a.large-management-hours","hours","AmazonEKS"
"APN2-EKS-Auto:c6g.large-management-hours","hours","AmazonEKS"
"APN2-Fargate-GB-Hours","hours","AmazonEKS"
"APN3-AmazonEKS-Hours:extendedSupport","Hours","AmazonEKS"
"APS1-AmazonEKS-Hours:extendedSupport","Hours","AmazonEKS"
"APS1-EKS-Auto:c5a.2xlarge-management-hours","hours","AmazonEKS"
"APS1-EKS-Auto:c5a.large-management-hours","hours","AmazonEKS"
"APS1-EKS-Auto:c5a.xlarge-management-hours","hours","AmazonEKS"
"APS1-EKS-Auto:c6g.large-management-hours","hours","AmazonEKS"
"APS1-EKS-Auto:g4dn.2xlarge-management-hours","hours","AmazonEKS"
"APS1-EKS-Auto:m6a.2xlarge-management-hours","hours","AmazonEKS"
"APS1-EKS-Auto:r5a.large-management-hours","hours","AmazonEKS"
"APS1-Fargate-GB-Hours","hours","AmazonEKS"
"APS2-AmazonEKS-Hours:extendedSupport","Hours","AmazonEKS"
"APS2-EKS-Auto:c6a.large-management-hours","hours","AmazonEKS"
"APS2-EKS-Auto:c6g.large-management-hours","hours","AmazonEKS"
"APS2-Fargate-GB-Hours","hours","AmazonEKS"
"APS3-AmazonEKS-Hours:extendedSupport","Hours","AmazonEKS"
"APS3-EKS-Auto:c5a.large-management-hours","hours","AmazonEKS"
"APS3-EKS-Auto:c6a.large-management-hours","hours","AmazonEKS"
"APS3-EKS-Auto:c6a.xlarge-management-hours","hours","AmazonEKS"
"APS3-EKS-Auto:c6g.large-management-hours","hours","AmazonEKS"
"APS3-EKS-Auto:m6a.large-management-hours","hours","AmazonEKS"
"APS3-Fargate-GB-Hours","hours","AmazonEKS"
"APS6-EKS-Auto:c5.large-management-hours","hours","AmazonEKS"
"EKS-Auto:c6a.large-management-hours","hours","AmazonEKS"
"EKS-Auto:c6a.xlarge-management-hours","hours","AmazonEKS"
"EKS-Auto:c6g.large-management-hours","hours","AmazonEKS"
"EKS-Auto:g4dn.xlarge-management-hours","hours","AmazonEKS"
"EKS-Auto:m5a.large-management-hours","hours","AmazonEKS"
"EKS-Auto:m5a.xlarge-management-hours","hours","AmazonEKS"
"EKS-Auto:r5a.xlarge-management-hours","hours","AmazonEKS"
"EKS-Auto:t3a.2xlarge-management-hours","hours","AmazonEKS"
"EKS-Auto:t3a.medium-management-hours","hours","AmazonEKS"
"EKS-Auto:t3a.xlarge-management-hours","hours","AmazonEKS"
"EU-AmazonEKS-Hours:extendedSupport","Hours","AmazonEKS"
"EU-EKS-Auto:c6a.large-management-hours","hours","AmazonEKS"
"EU-EKS-Auto:g4dn.xlarge-management-hours","hours","AmazonEKS"
"EU-Fargate-GB-Hours","hours","AmazonEKS"
"EUC1-AmazonEKS-Hours:extendedSupport","Hours","AmazonEKS"
"EUC1-EKS-Auto:c5a.large-management-hours","hours","AmazonEKS"
"EUC1-EKS-Auto:c6g.large-management-hours","hours","AmazonEKS"
"EUC1-Fargate-GB-Hours","hours","AmazonEKS"
"EUN1-EKS-Auto:c5a.large-management-hours","hours","AmazonEKS"
"EUN1-EKS-Auto:c6g.large-management-hours","hours","AmazonEKS"
"EUW2-Fargate-GB-Hours","hours","AmazonEKS"
"USE1-AmazonEKS-Hours:extendedSupport","hours","AmazonEKS"
"USE1-Fargate-GB-Hours","hours","AmazonEKS"
"USE2-AmazonEKS-Hours:extendedSupport","Hours","AmazonEKS"
"USE2-EKS-Auto:c6a.2xlarge-management-hours","hours","AmazonEKS"
"USE2-EKS-Auto:c6a.large-management-hours","hours","AmazonEKS"
"USE2-EKS-Auto:c6a.xlarge-management-hours","hours","AmazonEKS"
"USE2-EKS-Auto:c6g.large-management-hours","hours","AmazonEKS"
"USE2-EKS-Auto:c6g.xlarge-management-hours","hours","AmazonEKS"
"USE2-EKS-Auto:m5a.large-management-hours","hours","AmazonEKS"
"USE2-Fargate-GB-Hours","hours","AmazonEKS"
"USW1-AmazonEKS-Hours:extendedSupport","Hours","AmazonEKS"
"USW1-EKS-Auto:c5a.large-management-hours","hours","AmazonEKS"
"USW1-EKS-Auto:c6g.large-management-hours","hours","AmazonEKS"
"USW1-Fargate-GB-Hours","hours","AmazonEKS"
"USW2-AmazonEKS-Hours:extendedSupport","Hours","AmazonEKS"
"USW2-EKS-Auto:c6a.large-management-hours","hours","AmazonEKS"
"USW2-EKS-Auto:c6g.large-management-hours","hours","AmazonEKS"
"USW2-EKS-Auto:m5a.large-management-hours","hours","AmazonEKS"
"USW2-Fargate-GB-Hours","hours","AmazonEKS"
"APN1-ESInstance:m4.large","Hrs","AmazonES"
"APN1-ESInstance:m5.large","Hrs","AmazonES"
"APN1-ESInstance:m6g.large","Hrs","AmazonES"
"APN1-ESInstance:r5.large","Hrs","AmazonES"
"APN1-ESInstance:r6g.large","Hrs","AmazonES"
"APN1-ESInstance:t2.medium","Hrs","AmazonES"
"APN1-ESInstance:t3.medium","Hrs","AmazonES"
"APN2-ESInstance:r5.large","Hrs","AmazonES"
"APN2-ESInstance:t2.small","Hrs","AmazonES"
"APN2-ESInstance:t3.medium","Hrs","AmazonES"
"APS1-ESInstance:c5.large","Hrs","AmazonES"
"APS1-ESInstance:m4.large","Hrs","AmazonES"
"APS1-ESInstance:m6g.large","Hrs","AmazonES"
"APS1-ESInstance:r5.large","Hrs","AmazonES"
"APS1-ESInstance:r6g.large","Hrs","AmazonES"
"APS1-ESInstance:t2.medium","Hrs","AmazonES"
"APS1-ESInstance:t2.small","Hrs","AmazonES"
"APS1-ESInstance:t3.medium","Hrs","AmazonES"
"APS1-ESInstance:t3.small","Hrs","AmazonES"
"APS2-ESInstance:m4.large","Hrs","AmazonES"
"APS2-ESInstance:m6g.large","Hrs","AmazonES"
"APS2-ESInstance:r6g.large","Hrs","AmazonES"
"APS2-ESInstance:t2.small","Hrs","AmazonES"
"APS3-ESInstance:c4.large","Hrs","AmazonES"
"APS3-ESInstance:m4.large","Hrs","AmazonES"
"APS3-ESInstance:m4.xlarge","Hrs","AmazonES"
"APS3-ESInstance:m5.large","Hrs","AmazonES"
"APS3-ESInstance:m6g.large","Hrs","AmazonES"
"APS3-ESInstance:r4.large","Hrs","AmazonES"
"APS3-ESInstance:r5.large","Hrs","AmazonES"
"APS3-ESInstance:r6g.large","Hrs","AmazonES"
"APS3-ESInstance:t2.medium","Hrs","AmazonES"
"APS3-ESInstance:t2.micro","Hrs","AmazonES"
"APS3-ESInstance:t2.small","Hrs","AmazonES"
"APS3-ESInstance:t3.medium","Hrs","AmazonES"
"APS3-ESInstance:t3.small","Hrs","AmazonES"
"ESInstance:m3.medium","Hrs","AmazonES"
"ESInstance:m4.large","Hrs","AmazonES"
"ESInstance:m5.large","Hrs","AmazonES"
"ESInstance:m7g.large","Hrs","AmazonES"
"ESInstance:r5.large","Hrs","AmazonES"
"ESInstance:r6g.large","Hrs","AmazonES"
"ESInstance:r7g.large","Hrs","AmazonES"
"ESInstance:r8g.large","Hrs","AmazonES"
"ESInstance:t2.medium","Hrs","AmazonES"
"ESInstance:t2.micro","Hrs","AmazonES"
"ESInstance:t2.small","Hrs","AmazonES"
"ESInstance:t3.medium","Hrs","AmazonES"
"ESInstance:t3.small","Hrs","AmazonES"
"EU-ESInstance:m3.medium","Hrs","AmazonES"
"EU-ESInstance:t3.small","Hrs","AmazonES"
"EUC1-ESInstance:t3.medium","Hrs","AmazonES"
"EUC1-ESInstance:t3.small","Hrs","AmazonES"
"EUC1-OpenSearchExtendedSupport","Hrs","AmazonES"
"EUN1-ESInstance:m7g.large","Hrs","AmazonES"
"EUN1-ESInstance:r7g.large","Hrs","AmazonES"
"EUW2-ESInstance:t2.small","Hrs","AmazonES"
"USE2-ESInstance:c4.2xlarge","Hrs","AmazonES"
"USE2-ESInstance:m4.large","Hrs","AmazonES"
"USE2-ESInstance:m5.xlarge","Hrs","AmazonES"
"USE2-ESInstance:m7g.large","Hrs","AmazonES"
"USE2-ESInstance:r4.2xlarge","Hrs","AmazonES"
"USE2-ESInstance:r5.large","Hrs","AmazonES"
"USE2-ESInstance:r7g.large","Hrs","AmazonES"
"USE2-ESInstance:t3.small","Hrs","AmazonES"
"USW1-ESInstance:c4.large","Hrs","AmazonES"
"USW1-ESInstance:m4.large","Hrs","AmazonES"
"USW1-ESInstance:t2.medium","Hrs","AmazonES"
"USW2-ESInstance:m4.large","Hrs","AmazonES"
"USW2-ESInstance:m5.large","Hrs","AmazonES"
"USW2-ESInstance:m7g.large","Hrs","AmazonES"
"USW2-ESInstance:r5.large","Hrs","AmazonES"
"USW2-ESInstance:r6g.2xlarge","Hrs","AmazonES"
"USW2-ESInstance:r7g.large","Hrs","AmazonES"
"APS1-ConnectorSync","hours","AmazonKendra"
"APS1-KendraDeveloperEdition","hours","AmazonKendra"
"APS3-ConnectorSync","hours","AmazonKendra"
"APS3-KendraDeveloperEdition","hours","AmazonKendra"
"EU-Kendra-GenAI-Ent-Base-Capacity","hours","AmazonKendra"
"USE1-ConnectorSync","hours","AmazonKendra"
"USE1-Kendra-GenAI-Ent-Base-Capacity","hours","AmazonKendra"
"USE1-KendraDeveloperEdition","hours","AmazonKendra"
"APN1-ContainerSvcUsage:Large-2CPU-4GB","Hrs","AmazonLightsail"
"APN1-ContainerSvcUsage:Medium-1CPU-2GB","Hrs","AmazonLightsail"
"APN1-ContainerSvcUsage:Nano-0.25CPU-0.5GB","Hrs","AmazonLightsail"
"APN1-DatabaseUsage:1GB","Hrs","AmazonLightsail"
"APN2-DatabaseUsage:2GB","Hrs","AmazonLightsail"
"APS1-ContainerSvcUsage:Micro-0.25CPU-1GB-Free","Hrs","AmazonLightsail"
"APS1-DatabaseUsage:1GB","Hrs","AmazonLightsail"
"APS3-ContainerSvcUsage:Nano-0.25CPU-0.5GB","Hrs","AmazonLightsail"
"APS3-DatabaseUsage:1GB","Hrs","AmazonLightsail"
"USE1-ContainerSvcUsage:Nano-0.25CPU-0.5GB","Hrs","AmazonLightsail"
"APS1-Single-AZUsage:mq.m5.large","Hrs","AmazonMQ"
"APS3-Single-AZUsage:mq.t2.micro","Hrs","AmazonMQ"
"USE2-Single-AZUsage:mq.t3.micro","Hrs","AmazonMQ"
"APN3-Kafka.m7g.large","hours","AmazonMSK"
"APS1-Kafka.m5.large","hours","AmazonMSK"
"APS1-Kafka.t3.small","hours","AmazonMSK"
"APS1-KafkaServerless-ClusterHours","hours","AmazonMSK"
"APS1-KafkaServerless-PartitionHours","hours","AmazonMSK"
"APS2-Kafka.m5.large","hours","AmazonMSK"
"APS2-Kafka.m7g.large","hours","AmazonMSK"
"APS2-KafkaServerless-ClusterHours","hours","AmazonMSK"
"APS3-Kafka.m5.16xlarge","hours","AmazonMSK"
"APS3-Kafka.m5.2xlarge","hours","AmazonMSK"
"APS3-Kafka.m5.large","hours","AmazonMSK"
"APS3-Kafka.m5.xlarge","hours","AmazonMSK"
"APS3-Kafka.m7g.large","hours","AmazonMSK"
"APS3-Kafka.m7g.xlarge","hours","AmazonMSK"
"APS3-Kafka.t3.small","hours","AmazonMSK"
"APS3-KafkaServerless-ClusterHours","hours","AmazonMSK"
"APS6-Kafka.t3.small","hours","AmazonMSK"
"EU-Kafka.t3.small","hours","AmazonMSK"
"EU-KafkaServerless-ClusterHours","hours","AmazonMSK"
"EUC1-Express.m7g.large","hours","AmazonMSK"
"EUN1-Kafka.t3.small","hours","AmazonMSK"
"EUN1-KafkaServerless-ClusterHours","hours","AmazonMSK"
"USE1-Express.m7g.large","hours","AmazonMSK"
"USE1-Kafka.m5.large","hours","AmazonMSK"
"USE1-Kafka.m5.xlarge","hours","AmazonMSK"
"USE1-Kafka.m7g.large","hours","AmazonMSK"
"USE1-Kafka.t3.small","hours","AmazonMSK"
"USE1-KafkaServerless-ClusterHours","hours","AmazonMSK"
"USE2-Kafka.m5.large","hours","AmazonMSK"
"USE2-Kafka.m5.large","Hours","AmazonMSK"
"USE2-Kafka.m5.xlarge","hours","AmazonMSK"
"USE2-Kafka.m7g.large","hours","AmazonMSK"
"USE2-Kafka.t3.small","hours","AmazonMSK"
"USE2-KafkaServerless-ClusterHours","hours","AmazonMSK"
"USW1-Kafka.m7g.large","hours","AmazonMSK"
"USW2-Kafka.t3.small","hours","AmazonMSK"
"APS1-MemoryOptimizedGraphUsage:16-m-NCU","Hrs","AmazonNeptune"
"EUC1-MemoryOptimizedGraphUsage:128-m-NCU","Hrs","AmazonNeptune"
"USE1-MemoryOptimizedGraphUsage:128-m-NCU","Hrs","AmazonNeptune"
"USE1-MemoryOptimizedStoppedGraphUsage:128-m-NCU","Hrs","AmazonNeptune"
"USE2-MemoryOptimizedGraphUsage:32-m-NCU","Hrs","AmazonNeptune"
"USE1-AmazonQ-Index","hours","AmazonQ"
"USE1-Q-Business-Enterprise-Index","hours","AmazonQ"
"USE1-Q-Business-Starter-Index-free","hours","AmazonQ"
"APN1-Aurora:IO-OptimizedLimitlessACUUsage-Limitless","ACU-Hr","AmazonRDS"
"APN1-Multi-AZClusterUsage:db.m5d.large","Hrs","AmazonRDS"
"APN2-MirrorUsage:db.m4.large","Hrs","AmazonRDS"
"APS1-MirrorUsage:db.m5.large","Hrs","AmazonRDS"
"APS1-Multi-AZClusterUsage:db.m5d.xl","Hrs","AmazonRDS"
"APS1-RDS:ProxyUsage","Hrs","AmazonRDS"
"APS3-MirrorUsage:db.r4.large","Hrs","AmazonRDS"
"APS3-MirrorUsage:db.r5.xl","Hrs","AmazonRDS"
"APS3-MirrorUsage:db.t3.xl","Hrs","AmazonRDS"
"APS3-Multi-AZClusterUsage:db.m5d.large","Hrs","AmazonRDS"
"APS3-Multi-AZClusterUsage:db.m5d.xl","Hrs","AmazonRDS"
"APS3-Multi-AZClusterUsage:db.m6gd.large","Hrs","AmazonRDS"
"APS3-RDS:ProxyUsage","Hrs","AmazonRDS"
"EU-Multi-AZClusterUsage:db.r6gd.xl","Hrs","AmazonRDS"
"EUC1-Multi-AZClusterUsage:db.m5d.xl","Hrs","AmazonRDS"
"EUW2-Aurora:ServerlessV2IOOptimizedUsage","ACU-Hr","AmazonRDS"
"Multi-AZClusterUsage:db.c6gd.medium","Hrs","AmazonRDS"
"USE1-RDS:ProxyUsage","Hrs","AmazonRDS"
"USE2-Multi-AZClusterUsage:db.m5d.large","Hrs","AmazonRDS"
"USE2-RDS:ProxyUsage","Hrs","AmazonRDS"
"APS1-Node:dc2.large","Hrs","AmazonRedshift"
"APS3-Node:dc2.large","Hrs","AmazonRedshift"
"EU-Node:ra3.large","Hrs","AmazonRedshift"
"EUC1-Node:dc2.large","Hrs","AmazonRedshift"
"EUN1-Node:ra3.xlplus","Hrs","AmazonRedshift"
"Node:dc2.large","Hrs","AmazonRedshift"
"Node:ra3.4xlarge","Hrs","AmazonRedshift"
"Node:ra3.xlplus","Hrs","AmazonRedshift"
"USE2-Node:dc2.large","Hrs","AmazonRedshift"
"USW2-Node:dc2.large","Hrs","AmazonRedshift"
"APN1-Notebk:ml.t3.medium","Hrs","AmazonSageMaker"
"APS1-AsyncInf:ml.c5.2xlarge","Hrs","AmazonSageMaker"
"APS1-Canvas:Session-Hrs","Hrs","AmazonSageMaker"
"APS1-Notebk:ml.m5.xlarge","Hrs","AmazonSageMaker"
"APS1-Notebk:ml.t3.medium","Hrs","AmazonSageMaker"
"APS1-Studio:CodeEditor-ml.t3.medium","Hrs","AmazonSageMaker"
"APS1-Studio:JupyterLab-ml.t3.medium","Hrs","AmazonSageMaker"
"APS1-Tsform:ml.m5.4xlarge","Hrs","AmazonSageMaker"
"APS2-Canvas:Session-Hrs","Hrs","AmazonSageMaker"
"APS2-Host:ml.g4dn.4xlarge","Hrs","AmazonSageMaker"
"APS2-Host:ml.g4dn.xlarge","Hrs","AmazonSageMaker"
"APS2-Host:ml.g5.2xlarge","Hrs","AmazonSageMaker"
"APS2-Host:ml.t2.medium","Hrs","AmazonSageMaker"
"APS2-Notebk:ml.g4dn.xlarge","Hrs","AmazonSageMaker"
"APS2-Notebk:ml.t2.medium","Hrs","AmazonSageMaker"
"APS2-Notebk:ml.t3.medium","Hrs","AmazonSageMaker"
"APS2-Processing:ml.c5.18xlarge","Hrs","AmazonSageMaker"
"APS2-Processing_DW:ml.m5.4xlarge","Hrs","AmazonSageMaker"
"APS2-Studio:CodeEditor-ml.t3.large","Hrs","AmazonSageMaker"
"APS2-Studio:CodeEditor-ml.t3.medium","Hrs","AmazonSageMaker"
"APS2-Studio:JupyterLab-ml.t3.medium","Hrs","AmazonSageMaker"
"APS2-Studio:KernelGateway-ml.g4dn.2xlarge","Hrs","AmazonSageMaker"
"APS2-Studio:KernelGateway-ml.g4dn.xlarge","Hrs","AmazonSageMaker"
"APS2-Studio:KernelGateway-ml.t3.medium","Hrs","AmazonSageMaker"
"APS2-Train:ml.g4dn.xlarge","Hrs","AmazonSageMaker"
"APS2-Train:ml.m5.12xlarge","Hrs","AmazonSageMaker"
"APS3-Canvas:Session-Hrs","Hrs","AmazonSageMaker"
"APS3-Notebk:ml.t2.medium","Hrs","AmazonSageMaker"
"APS3-Notebk:ml.t3.2xlarge","Hrs","AmazonSageMaker"
"APS3-Notebk:ml.t3.medium","Hrs","AmazonSageMaker"
"APS3-Studio:JupyterLab-ml.t3.medium","Hrs","AmazonSageMaker"
"EU-Host:ml.m4.xlarge","Hrs","AmazonSageMaker"
"EU-Notebk:ml.t2.medium","Hrs","AmazonSageMaker"
"EU-Studio:CodeEditor-ml.g4dn.4xlarge","Hrs","AmazonSageMaker"
"EU-Studio:CodeEditor-ml.g4dn.xlarge","Hrs","AmazonSageMaker"
"EU-Train:ml.g4dn.2xlarge","Hrs","AmazonSageMaker"
"EU-Train:ml.g5.xlarge","Hrs","AmazonSageMaker"
"EU-Train:ml.m4.10xlarge","Hrs","AmazonSageMaker"
"EU-Train:ml.p2.xlarge","Hrs","AmazonSageMaker"
"EUC1-AsyncInf:ml.c5.2xlarge","Hrs","AmazonSageMaker"
"EUC1-Canvas:Session-Hrs","Hrs","AmazonSageMaker"
"EUC1-Host:ml.c5.4xlarge","Hrs","AmazonSageMaker"
"EUC1-Host:ml.c5.xlarge","Hrs","AmazonSageMaker"
"EUC1-Host:ml.g5.xlarge","Hrs","AmazonSageMaker"
"EUC1-Host:ml.m5.12xlarge","Hrs","AmazonSageMaker"
"EUC1-Host:ml.m5.large","Hrs","AmazonSageMaker"
"EUC1-Host:ml.m5.xlarge","Hrs","AmazonSageMaker"
"EUC1-Host:ml.t2.medium","Hrs","AmazonSageMaker"
"EUC1-MLflow:TrackingServerCompute-Small","Hours","AmazonSageMaker"
"EUC1-Notebk:ml.g4dn.2xlarge","Hrs","AmazonSageMaker"
"EUC1-Notebk:ml.g4dn.4xlarge","Hrs","AmazonSageMaker"
"EUC1-Processing:ml.m5.12xlarge","Hrs","AmazonSageMaker"
"EUC1-Processing:ml.m5.24xlarge","Hrs","AmazonSageMaker"
"EUC1-Processing:ml.t3.medium","Hrs","AmazonSageMaker"
"EUC1-Studio:CodeEditor-ml.g4dn.2xlarge","Hrs","AmazonSageMaker"
"EUC1-Studio:CodeEditor-ml.g4dn.4xlarge","Hrs","AmazonSageMaker"
"EUC1-Studio:CodeEditor-ml.g5.xlarge","Hrs","AmazonSageMaker"
"EUC1-Studio:CodeEditor-ml.t3.medium","Hrs","AmazonSageMaker"
"EUC1-Studio:JupyterLab-ml.m5.2xlarge","Hrs","AmazonSageMaker"
"EUC1-Studio:JupyterLab-ml.t3.medium","Hrs","AmazonSageMaker"
"EUC1-Studio:KernelGateway-ml.g4dn.xlarge","Hrs","AmazonSageMaker"
"EUC1-Studio:KernelGateway-ml.t3.medium","Hrs","AmazonSageMaker"
"EUC1-Train:ml.c5.4xlarge","Hrs","AmazonSageMaker"
"EUC1-Train:ml.m5.4xlarge","Hrs","AmazonSageMaker"
"EUC1-Tsform:ml.m5.4xlarge","Hrs","AmazonSageMaker"
"EUC1-UnifiedStudio:Notebook-sc.t3.medium","Hrs","AmazonSageMaker"
"EUN1-Host:ml.g4dn.2xlarge","Hrs","AmazonSageMaker"
"EUN1-Host:ml.g4dn.xlarge","Hrs","AmazonSageMaker"
"EUN1-Host:ml.m5.2xlarge","Hrs","AmazonSageMaker"
"EUN1-Host:ml.m5.xlarge","Hrs","AmazonSageMaker"
"EUN1-Studio:JupyterLab-ml.t3.medium","Hrs","AmazonSageMaker"
"EUW2-Host:ml.m4.xlarge","Hrs","AmazonSageMaker"
"EUW2-Notebk:ml.t2.large","Hrs","AmazonSageMaker"
"EUW2-Notebk:ml.t2.medium","Hrs","AmazonSageMaker"
"EUW2-Notebk:ml.t3.medium","Hrs","AmazonSageMaker"
"EUW2-Studio:JupyterLab-ml.t3.medium","Hrs","AmazonSageMaker"
"SAE1-Notebk:ml.t2.medium","Hrs","AmazonSageMaker"
"SAE1-Notebk:ml.t3.medium","Hrs","AmazonSageMaker"
"USE1-AsyncInf:ml.c5.2xlarge","Hrs","AmazonSageMaker"
"USE1-Canvas:Session-Hrs","Hrs","AmazonSageMaker"
"USE1-Host:ml.c4.xlarge","Hrs","AmazonSageMaker"
"USE1-Host:ml.c5.4xlarge","Hrs","AmazonSageMaker"
"USE1-Host:ml.g4dn.12xlarge","Hrs","AmazonSageMaker"
"USE1-Host:ml.g5.12xlarge","Hrs","AmazonSageMaker"
"USE1-Host:ml.g5.24xlarge","Hrs","AmazonSageMaker"
"USE1-Host:ml.g5.2xlarge","Hrs","AmazonSageMaker"
"USE1-Host:ml.g5.4xlarge","Hrs","AmazonSageMaker"
"USE1-Host:ml.g5.xlarge","Hrs","AmazonSageMaker"
"USE1-Host:ml.g6e.xlarge","Hrs","AmazonSageMaker"
"USE1-Host:ml.m4.xlarge","Hrs","AmazonSageMaker"
"USE1-Host:ml.m5.12xlarge","Hrs","AmazonSageMaker"
"USE1-Host:ml.m5.2xlarge","Hrs","AmazonSageMaker"
"USE1-Host:ml.m5.large","Hrs","AmazonSageMaker"
"USE1-Host:ml.m5.xlarge","Hrs","AmazonSageMaker"
"USE1-Host:ml.p3.16xlarge","Hrs","AmazonSageMaker"
"USE1-Host:ml.p3.2xlarge","Hrs","AmazonSageMaker"
"USE1-Host:ml.p3.8xlarge","Hrs","AmazonSageMaker"
"USE1-Host:ml.t2.medium","Hrs","AmazonSageMaker"
"USE1-MonitorFreeTier:ml.m5.xlarge","Hrs","AmazonSageMaker"
"USE1-Notebk:ml.c5.4xlarge","Hrs","AmazonSageMaker"
"USE1-Notebk:ml.c5.9xlarge","Hrs","AmazonSageMaker"
"USE1-Notebk:ml.c5.xlarge","Hrs","AmazonSageMaker"
"USE1-Notebk:ml.t2.medium","Hrs","AmazonSageMaker"
"USE1-Notebk:ml.t3.2xlarge","Hrs","AmazonSageMaker"
"USE1-Notebk:ml.t3.large","Hrs","AmazonSageMaker"
"USE1-Notebk:ml.t3.medium","Hrs","AmazonSageMaker"
"USE1-Notebk:ml.t3.xlarge","Hrs","AmazonSageMaker"
"USE1-Processing:ml.c4.xlarge","Hrs","AmazonSageMaker"
"USE1-Processing:ml.c5.xlarge","Hrs","AmazonSageMaker"
"USE1-Processing:ml.g4dn.4xlarge","Hrs","AmazonSageMaker"
"USE1-Processing:ml.g4dn.xlarge","Hrs","AmazonSageMaker"
"USE1-Processing:ml.g6e.2xlarge","Hrs","AmazonSageMaker"
"USE1-Processing:ml.m4.xlarge","Hrs","AmazonSageMaker"
"USE1-Processing:ml.m5.4xlarge","Hrs","AmazonSageMaker"
"USE1-Processing:ml.m5.xlarge","Hrs","AmazonSageMaker"
"USE1-Processing:ml.r5.16xlarge","Hrs","AmazonSageMaker"
"USE1-Processing:ml.t3.medium","Hrs","AmazonSageMaker"
"USE1-Processing_DW:ml.m5.4xlarge","Hrs","AmazonSageMaker"
"USE1-Studio:CodeEditor-ml.g4dn.4xlarge","Hrs","AmazonSageMaker"
"USE1-Studio:CodeEditor-ml.g4dn.xlarge","Hrs","AmazonSageMaker"
"USE1-Studio:CodeEditor-ml.m5.16xlarge","Hrs","AmazonSageMaker"
"USE1-Studio:CodeEditor-ml.m5.2xlarge","Hrs","AmazonSageMaker"
"USE1-Studio:CodeEditor-ml.t3.medium","Hrs","AmazonSageMaker"
"USE1-Studio:JupyterLab-ml.g6.xlarge","Hrs","AmazonSageMaker"
"USE1-Studio:JupyterLab-ml.t3.medium","Hrs","AmazonSageMaker"
"USE1-Studio:KernelGateway-ml.g4dn.2xlarge","Hrs","AmazonSageMaker"
"USE1-Studio:KernelGateway-ml.g4dn.xlarge","Hrs","AmazonSageMaker"
"USE1-Studio:KernelGateway-ml.m5.large","Hrs","AmazonSageMaker"
"USE1-Studio:KernelGateway-ml.t3.medium","Hrs","AmazonSageMaker"
"USE1-Studio_DW:KernelGateway-ml.m5.4xlarge","Hrs","AmazonSageMaker"
"USE1-Train:ml.c4.xlarge","Hrs","AmazonSageMaker"
"USE1-Train:ml.c5.4xlarge","Hrs","AmazonSageMaker"
"USE1-Train:ml.g4dn.2xlarge","Hrs","AmazonSageMaker"
"USE1-Train:ml.g4dn.4xlarge","Hrs","AmazonSageMaker"
"USE1-Train:ml.g4dn.xlarge","Hrs","AmazonSageMaker"
"USE1-Train:ml.g5.xlarge","Hrs","AmazonSageMaker"
"USE1-Train:ml.g6.xlarge","Hrs","AmazonSageMaker"
"USE1-Train:ml.g6e.2xlarge","Hrs","AmazonSageMaker"
"USE1-Train:ml.m4.4xlarge","Hrs","AmazonSageMaker"
"USE1-Train:ml.m4.xlarge","Hrs","AmazonSageMaker"
"USE1-Train:ml.m5.12xlarge","Hrs","AmazonSageMaker"
"USE1-Train:ml.m5.2xlarge","Hrs","AmazonSageMaker"
"USE1-Train:ml.m5.4xlarge","Hrs","AmazonSageMaker"
"USE1-Train:ml.m5.large","Hrs","AmazonSageMaker"
"USE1-Train:ml.m5.xlarge","Hrs","AmazonSageMaker"
"USE1-Train:ml.p3.2xlarge","Hrs","AmazonSageMaker"
"USE1-TrainDebugFreeTier:ml.m5.2xlarge","Hrs","AmazonSageMaker"
"USE1-Tsform:ml.m4.xlarge","Hrs","AmazonSageMaker"
"USE1-Tsform:ml.m5.4xlarge","Hrs","AmazonSageMaker"
"USE1-Tsform:ml.m5.xlarge","Hrs","AmazonSageMaker"
"USE1-UnifiedStudio:Notebook-sc.t3.medium","Hrs","AmazonSageMaker"
"USE2-Canvas:Session-Hrs","Hrs","AmazonSageMaker"
"USE2-Host:ml.g5.2xlarge","Hrs","AmazonSageMaker"
"USE2-Host:ml.m4.xlarge","Hrs","AmazonSageMaker"
"USE2-Host:ml.m5.large","Hrs","AmazonSageMaker"
"USE2-Notebk:ml.m4.xlarge","Hrs","AmazonSageMaker"
"USE2-Notebk:ml.m5.xlarge","Hrs","AmazonSageMaker"
