"line_item_usage_type","line_item_product_code","line_item_line_item_type","pricing_unit","line_item_operation","product_region"
"APS2-BoxUsage:m4.xlarge","AmazonEC2","Usage","Hrs","RunInstances:0006","ap-southeast-2"
"EU-MCT1-AWS-In-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-In","eu-west-1"
"USW2-Recipients","AmazonSES","Usage","Count","Send","us-west-2"
"eu-west-1-KMS-Requests","awskms","Usage","Requests","CancelKeyDeletion","eu-west-1"
"APN1-APS1-AWS-In-Bytes","AmazonECS","Usage","GB","FargateTask","ap-northeast-1"
"EUW2-USW2-AWS-Out-Bytes","AmazonECS","Usage","GB","FargateTask","eu-west-2"
"APN1-USW2-AWS-In-Bytes","AmazonECS","Usage","GB","FargateTask","ap-northeast-1"
"APN3-DataTransfer-Out-Bytes","AWSELB","Usage","GB","LoadBalancing","ap-northeast-3"
"ap-southeast-2-KMS-Requests","awskms","Usage","","CreateAlias","ap-southeast-2"
"APS3-ConformancePackEvaluations","AWSConfig","Usage","ConformancePackEvaluations","none","ap-south-1"
"APS1-BoxUsage:t3a.micro","AmazonEC2","DiscountedUsage","Hrs","RunInstances","ap-southeast-1"
"EUW2-DataTransfer-Out-Bytes","AWSELB","Usage","GB","LoadBalancing","eu-west-2"
"EUN1-Requests-Tier1","AmazonS3","Usage","Requests","WriteLogProps","eu-north-1"
"EUW3-ApiGatewayHttpRequest","AmazonApiGateway","Usage","Requests","ApiGatewayHttpApi","eu-west-3"
"APS1-AWSSecretsManagerAPIRequest","AWSSecretsManager","Usage","API Requests","TagResource","ap-southeast-1"
"APS2-APN2-AWS-Out-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-Out","ap-southeast-2"
"USE2-DataTransfer-Out-Bytes","AmazonS3","Usage","GB","ReadObjectAttributes","us-east-2"
"APS3-SpotUsage:r6id.large","AmazonEC2","Usage","Hrs","RunInstances:SV052","ap-south-1"
"APS3-PER1-AWS-Out-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-Out","ap-south-1"
"USW2-Requests-Tier2","AmazonS3","Usage","Requests","GetBucketAntuConfiguration","us-west-2"
"EUW3-AWSSecretsManagerAPIRequest","AWSSecretsManager","Usage","API Requests","GetResourcePolicy","eu-west-3"
"USE1-SEA1-AWS-Out-Bytes","AmazonES","Usage","GB","None","us-east-1"
"EU-Requests-Tier1","AmazonSNS","Usage","Requests","ListPhoneNumbersOptedOut","eu-west-1"
"APE1-TimedStorage-ByteHrs","AmazonDynamoDB","Usage","GB-Mo","StandardStorage","ap-east-1"
"USE2-APS2-AWS-Out-Bytes","AmazonS3","Usage","GB","ReadBucketPolicyStatus","us-east-2"
"USW2-MEC1-AWS-Out-Bytes","AmazonEC2","Usage","GB","PublicIP-Out","us-west-2"
"APS1-BoxUsage:t2.nano","AmazonEC2","SavingsPlanCoveredUsage","Hrs","RunInstances","ap-southeast-1"
"BoxUsage:i3.4xlarge","AmazonEC2","Usage","Hrs","RunInstances","us-east-1"
"EUC1-OpenSearchExtendedSupport","AmazonES","Usage","Hrs","ESDomain","eu-central-1"
"APS2-DataTransferOut","AWSAmplify","Usage","GigaBytes","HEAD","ap-southeast-2"
"EU-APS7-AWS-In-Bytes","AWSELB","Usage","GB","LoadBalancing-NLB-PublicIP-In","eu-west-1"
"APS1-DataTransfer-Out-Bytes","AmazonMQ","Usage","GB","Not Applicable","ap-southeast-1"
"APN2-BoxUsage:t2.2xlarge","AmazonEC2","SavingsPlanCoveredUsage","Hrs","RunInstances","ap-northeast-2"
"EU-USW2-AWS-In-Bytes","AmazonRDS","Usage","GB","CreateDBInstance:0021","eu-west-1"
"USE1-APS6-AWS-In-Bytes","AWSELB","Usage","GB","LoadBalancing-NLB-PublicIP-In","us-east-1"
"USE1-EUW3WL1DSS1-AWS-In-Bytes","AWSELB","Usage","GB","LoadBalancing-NLB-PublicIP-In","us-east-1"
"CAN2-ConfigurationItemRecorded","AWSConfig","Usage","CAN1-ConfigurationItemRecorded","None","ca-west-1"
"USW2-EBSOptimized:r4.2xlarge","AmazonEC2","Usage","Hrs","Hourly","us-west-2"
"APS1-IAH1-AWS-Out-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-Out","ap-southeast-1"
"APS1-USW2-AWS-Out-Bytes","AmazonFSx","Usage","GB","CreateFileSystem:Lustre","ap-southeast-1"
"APN3-DataTransfer-Out-Bytes","AmazonS3","Usage","GB","ReadRequestPaymentProps","ap-northeast-3"
"APS2-InstanceUsage:db.t3.medium","AmazonRDS","Usage","Hrs","CreateDBInstance:0014","ap-southeast-2"
"APS3-BOS1-AWS-Out-Bytes","AWSELB","Usage","GB","LoadBalancing-NLB-PublicIP-Out","ap-south-1"
"APS1-USE1-AWS-In-Bytes","AmazonS3","Usage","GB","WriteACL","ap-southeast-1"
"USE2-Requests-Tier1","AWSQueueService","Usage","","ChgVis","us-east-2"
"USE2-EU-AWS-Out-Bytes","AmazonRDS","Usage","GB","Not Applicable","us-east-2"
"SA-Requests-HTTPS-Proxy","AmazonCloudFront","Usage","Requests","DELETE","sa-east-1"
"EU-PDX1-AWS-Out-Bytes","AmazonEC2","Usage","GB","PublicIP-Out","eu-west-1"
"APS1-AMP:CollectorHours","AmazonPrometheus","Usage","Collector Hours","CollectorHours","ap-southeast-1"
"USW1-APS4-AWS-In-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-In","us-west-1"
"InstanceUsage:db.t3.medium","AmazonRDS","Usage","Hrs","CreateDBInstance:0016","us-east-1"
"USW2-CCU1-AWS-In-Bytes","AmazonES","Usage","GB","None","us-west-2"
"APS5-DeliveryAttempts-HTTP","AmazonSNS","Usage","Notifications","SubscriptionConfirmation","ap-south-2"
"APE1-ATL1-AWS-Out-Bytes","AmazonVPC","Usage","GB","CreateVpnConnection","ap-east-1"
"APS2-DataScannedInTB","AmazonAthena","Usage","Terabytes","PRESTO_QUERY","ap-southeast-2"
"USW2-CW:CompositeAlarmMonitorUsage","AmazonCloudWatch","Usage","Alarms","Unknown","us-west-2"
"Requests-Tier2","AmazonS3","Usage","Requests","DescribeJob","us-east-1"
"USW2-SpotUsage:c8i.4xlarge","AmazonEC2","Usage","Hrs","RunInstances:SV080","us-west-2"
"USE1-USE2-AWS-In-Bytes","AmazonEC2","Usage","GB","RegionalNatGateway","us-east-1"
"USW2-SpotUsage:c8g.4xlarge","AmazonEC2","Usage","Hrs","RunInstances:SV002","us-west-2"
"USE2-DataTransfer-In-Bytes","AmazonSES","Usage","GB","SendEmail","us-east-2"
"APS3-TotalDataXfer-Out-Bytes","AmazonLightsail","Usage","GB","nano_3_1_outother","ap-south-1"
"EUW2-BoxUsage:c5.2xlarge","AmazonEC2","SavingsPlanCoveredUsage","Hrs","RunInstances","eu-west-2"
"USW2-gpt-oss-120b-input-tokens","AmazonBedrock","Usage","1K tokens","InvokeModelStreamingInference","us-west-2"
"APS1-DataTransfer-Out-Bytes","AWSCodeArtifact","Usage","GB","GetDomainPermissionsPolicy","ap-southeast-1"
"KR-AP-IN-Bytes-Internet","AWSGlobalAccelerator","Usage","GigaBytes","Dominant","ap-northeast-2"
"AP-EU-IN-Bytes-Internet","AWSGlobalAccelerator","Usage","GigaBytes","Non-dominant","ap-southeast-1"
"EU-Output-HD-Hours","AmazonIVS","Usage","hours","x","global"
"USE1-AMP:MetricSamplesCollected","AmazonPrometheus","Usage","Metric Datapoints","MetricSamplesCollected","us-east-1"
"USW2-EUS2-AWS-In-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-In","us-west-2"
"KR-KR-OUT-Bytes-Internet","AWSGlobalAccelerator","Usage","GigaBytes","Non-dominant","ap-northeast-2"
"APS2-EUC1-AWS-Out-Bytes","AmazonS3","Usage","GB","ReadBucketPublicAccessBlock","ap-southeast-2"
"APN2-DataTransfer-In-Bytes","AmazonDynamoDB","Usage","GB","CreateTable","ap-northeast-2"
"DataTransfer-In-Bytes","AmazonS3","Usage","GB","CreateJob","us-east-1"
"APS1-EBSOptimized:r5.large","AmazonEC2","Usage","Hrs","Hourly","ap-southeast-1"
"SAE1-BoxUsage:t2.medium","AmazonEC2","Usage","Hrs","RunInstances:0002","sa-east-1"
"MRAP-In-Bytes","AmazonS3","Usage","GB","PutObject","global"
"Requests-SIA-Tier1","AmazonS3","Usage","Requests","CopyObject","us-east-1"
"APN1-RDS:GP3-Storage","AmazonRDS","Usage","GB-Mo","CreateDBInstance:0014","ap-northeast-1"
"USW1-EUW3-AWS-In-Bytes","AmazonECS","Usage","GB","FargateTask","us-west-1"
"USE1-APS8-AWS-In-Bytes","AmazonEC2","Usage","GB","RegionalNatGateway","us-east-1"
"USW1-WAW1-AWS-In-Bytes","AWSELB","Usage","GB","LoadBalancing-NLB-PublicIP-In","us-west-1"
"USE2-DEL1-AWS-In-Bytes","AmazonEC2","Usage","GB","PublicIP-In","us-east-2"
"SAE1-USW2-AWS-Out-Bytes","AmazonGlacier","Usage","GB","ListVaults","sa-east-1"
"APN2-USE1-AWS-Out-Bytes","AmazonS3","Usage","GB","ReadBucketMetrics","ap-northeast-2"
"CAN1-SoftwareUsage:t2.small","2wqkpek696qhdeo7lbbjncqli","Usage","","Hourly","ca-central-1"
"USW1-WAW1-AWS-In-Bytes","AmazonEC2","Usage","GB","PublicIP-In","us-west-1"
"USE2-DBrew-FreeSessions","AWSGlue","Usage","Sessions","Session","us-east-2"
"APN3-DataTransfer-Regional-Bytes","AWSCloudShell","Usage","GB","CloudShell data transfer","ap-northeast-3"
"APS3-Requests-Tier1","AmazonSNS","Usage","Requests","ListSMSSandboxPhoneNumbers","ap-south-1"
"KR-NA-IN-Bytes-AWS","AWSGlobalAccelerator","Usage","GigaBytes","Non-dominant","ap-northeast-2"
"EUW2-APS2-AWS-In-Bytes","AmazonECS","Usage","GB","FargateTask","eu-west-2"
"USE1-zai.glm-4.7-flash-output-tokens","AmazonBedrock","Usage","1K tokens","InvokeModelStreamingInference","us-east-1"
"USE1-Gemma-3-27B-IT-output-tokens","AmazonBedrock","Usage","1K tokens","InvokeModelStreamingInference","us-east-1"
"APS1-MSP1-AWS-In-Bytes","AWSELB","Usage","GB","LoadBalancing-NLB-PublicIP-In","ap-southeast-1"
"APN1-TranslateText","translate","Usage","Character","TranslateText","ap-northeast-1"
"APN3-CloudFront-In-Bytes","AWSELB","Usage","GB","LoadBalancing","ap-northeast-3"
"USW2-SpotUsage:t4g.small","AmazonEC2","Usage","Hrs","RunInstances:SV001","us-west-2"
"EU-Guardrail-SensitiveInformationPolicyPaidUnitsConsumed","AmazonBedrock","Usage","TextUnit","ApplyGuardrail","eu-west-1"
"EUW2-APN1-AWS-Out-Bytes","AmazonVPC","Usage","GB","ClientVPNConnections","eu-west-2"
"APS3-BoxUsage:t3.xlarge","AmazonEC2","Usage","Hrs","RunInstances:0006","ap-south-1"
"CAN1-USE2-AWS-Out-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-Out","ca-central-1"
"EUC1-USW2-AWS-Out-Bytes","AmazonS3","Usage","GB","PutObject","eu-central-1"
"SAE1-BoxUsage:t2.large","AmazonEC2","SavingsPlanCoveredUsage","Hrs","RunInstances","sa-east-1"
"EU-Requests-Tier1","AmazonSNS","Usage","Requests","DeletePlatformApplication","eu-west-1"
"EU-DataTransfer-Out-Bytes","AWSAppSync","Usage","GB","GraphQL","eu-west-1"
"APS6-DataTransfer-In-Bytes","AmazonS3","Usage","GB","PutObject","ap-southeast-4"
"APS3-EUS2-AWS-In-Bytes","AWSELB","Usage","GB","LoadBalancing-NLB-PublicIP-In","ap-south-1"
"APN3-AmazonEKS-Hours:extendedSupport","AmazonEKS","Usage","Hours","ExtendedSupport","ap-northeast-3"
"USE2-BoxUsage:t2.medium","AmazonEC2","Usage","Hrs","RunInstances:0002","us-east-2"
"USE2-SpotUsage:m6a.large","AmazonEC2","Usage","Hrs","RunInstances:SV051","us-east-2"
"SAE1-LAX1-AWS-In-Bytes","AmazonEC2","Usage","GB","PublicIP-In","sa-east-1"
"APN1-DataTransfer-Out-Bytes","AWSCodeArtifact","Usage","GB","GetRepositoryPermissionsPolicy","ap-northeast-1"
"EUW2-DataTransfer-In-Bytes","AmazonS3","Usage","GB","WriteObjectTagging","eu-west-2"
"APN1-InstanceUsage:db.m6gd.large","AmazonRDS","Usage","Hrs","CreateDBInstance:0002","ap-northeast-1"
"EU-Requests-GLACIER-Tier2","AmazonS3","Usage","Requests","HeadObject","eu-west-1"
"EUW2-Tables-Requests-Tier2","AmazonS3","Usage","Requests","GetTable","eu-west-2"
"EUN1-WAW1-AWS-In-Bytes","AmazonEC2","Usage","GB","PublicIP-In","eu-north-1"
"APS3-DataTransfer-Out-Bytes","AmazonDynamoDB","Usage","GB","PayPerRequestThroughput","ap-south-1"
"APS7-DeliveryAttempts-HTTP","AmazonSNS","Usage","Notifications","SubscriptionConfirmation","ap-southeast-5"
"USE2-BoxUsage:c4.large","AmazonEC2","SavingsPlanCoveredUsage","Hrs","RunInstances","us-east-2"
"APS2-LIM1-AWS-Out-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-Out","ap-southeast-2"
"USW2-SCL1-AWS-In-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-In","us-west-2"
"APS2-UGE1-AWS-Out-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-Out","ap-southeast-2"
"APS1-AW-HWU-3-AutoStop-Usage","AmazonWorkSpaces","Usage","hour","none","ap-southeast-1"
"APS1-USE1-AWS-Out-Bytes","AmazonFSx","Usage","GB","CreateFileSystem:Lustre","ap-southeast-1"
"EU-TotalDataXfer-Out-Bytes","AmazonLightsail","Usage","GB","nano_2_0","eu-west-1"
"EUC1-Tsform:ml.m5.4xlarge","AmazonSageMaker","Usage","Hrs","RunInstance","eu-central-1"
"sa-east-1-KMS-Requests","awskms","Usage","","ListKeys","sa-east-1"
"EUC1-BoxUsage:m5.24xlarge","AmazonEC2","Usage","Hrs","RunInstances","eu-central-1"
"USE1-USW2-AWS-In-Bytes","AWSCloudShell","Usage","GB","CloudShell data transfer","us-east-1"
"EUW3-EUN1-AWS-Out-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-Out","eu-west-3"
"APS2-USE1-AWS-Out-Bytes","AWSElementalMediaStore","Usage","GB","ListContainers","ap-southeast-2"
"USE1-TrainDebugFreeTier:ml.m5.2xlarge","AmazonSageMaker","Usage","Hrs","RunInstance","us-east-1"
"ap-northeast-2-KMS-Requests","awskms","Usage","Requests","CancelKeyDeletion","ap-northeast-2"
"EUC1-Tables-Requests-Tier1","AmazonS3","Usage","Requests","CreateTable","eu-central-1"
"APS2-EUN1-AWS-Out-Bytes","AmazonECS","Usage","GB","FargateTask","ap-southeast-2"
"APS3-CAC1WL1YTO1-AWS-In-Bytes","AmazonEC2","Usage","GB","PublicIP-In","ap-south-1"
"APE1-DFW1-AWS-Out-Bytes","AmazonEC2","Usage","GB","PublicIP-Out","ap-east-1"
"USE1-Grafana:EditorUser","AmazonGrafana","Usage","Users","g-3d7023897b","us-east-1"
"APS3-EMR-EKS-FARGATE-GBHours","ElasticMapReduce","Usage","Hrs","StartJobRun","ap-south-1"
"APS2-SpotUsage:m6a.large","AmazonEC2","Usage","Hrs","RunInstances:SV052","ap-southeast-2"
"USW1-SpotUsage:c5d.18xlarge","AmazonEC2","Usage","Hrs","RunInstances:0002:SV006","us-west-1"
"APS1-APN2-AWS-Out-Bytes","AmazonS3","Usage","GB","ReadBucketReplication","ap-southeast-1"
"SAE1-SpotUsage:c5.24xlarge","AmazonEC2","Usage","Hrs","RunInstances:0002:SV002","sa-east-1"
"USW1-SpotUsage:z1d.12xlarge","AmazonEC2","Usage","Hours","RunInstances:0002:SV006","us-west-1"
"APE1-USE1-AWS-In-Bytes","AmazonS3","Usage","GB","WriteBucketPolicy","ap-east-1"
"APS3-APE1-AWS-In-Bytes","AWSDatabaseMigrationSvc","Usage","GB","Not Applicable","ap-south-1"
"CAN1-IAH1-AWS-Out-Bytes","AmazonEC2","Usage","GB","PublicIP-Out","ca-central-1"
"APS2-APN2-AWS-In-Bytes","AmazonS3","Usage","GB","WriteCostAllocation","ap-southeast-2"
"SpotUsage:r5.8xlarge","AmazonEC2","Usage","Hrs","RunInstances:0002:SV062","us-east-1"
"EUW3-CW:Requests","AmazonCloudWatch","Usage","Requests","GetDashboard","eu-west-3"
"DataTransfer-In-Bytes","AmazonS3","Usage","GB","WriteAccessPointPolicy","us-east-1"
"eu-central-1-KMS-Requests","awskms","Usage","Requests","ReEncrypt","eu-central-1"
"BoxUsage:c4.large","AmazonEC2","SavingsPlanCoveredUsage","Hrs","RunInstances","us-east-1"
"APN1-EUS1-AWS-In-Bytes","AmazonEC2","Usage","GB","RunInstances","ap-northeast-1"
"APS3-InstanceUsage:db.m6gd.large","AmazonRDS","Usage","Hrs","CreateDBInstance:0014","ap-south-1"
"APS2-BoxUsage:t3.large","AmazonEC2","SavingsPlanCoveredUsage","Hrs","RunInstances","ap-southeast-2"
"APS3-EUW3-AWS-Out-Bytes","AmazonS3","Usage","GB","PutObject","ap-south-1"
"EUW3-CHI1-AWS-Out-Bytes","AmazonEC2","Usage","GB","PublicIP-Out","eu-west-3"
"APS2-Requests-Tier1","AmazonSNS","Usage","Requests","PutDataProtectionPolicy","ap-southeast-2"
"EU-RestoreDataSize-Bytes","AmazonDynamoDB","Usage","GB","RestoreTable","eu-west-1"
"USE1-OC-API-Requests-Tier1","AWSSystemsManager","Usage","API Requests","LIST_OPSITEM_EVENTS_SUCCESS","us-east-1"
"EU-APN2-AWS-In-Bytes","AmazonS3","Usage","GB","WriteBucketWebsite","eu-west-1"
"APN2-CloudFront-Out-Bytes","AmazonS3","Usage","GB","ListBucket","ap-northeast-2"
"APS2-BKK1-AWS-Out-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-Out","ap-southeast-2"
"DocumentBatchUpload","AmazonCloudSearch","Usage","","CSDomain:002","us-east-1"
"MP:outputTokenCount-Units","4s10koflct6dqpec6l9i37drsi","Usage","Units","Usage","us-east-1"
"APS3-USE1-AWS-In-Bytes","AmazonS3","Usage","GB","WriteObjectTagging","ap-south-1"
"USW2-EUC1-AWS-In-Bytes","AmazonS3","Usage","GB","CopyObject","us-west-2"
"USE2-BoxUsage:h1.16xlarge","AmazonEC2","Usage","Hrs","RunInstances","us-east-2"
"USW2-RDS:ChargedBackupUsage","AmazonRDS","Usage","GB-Mo","CreateDBInstance:0019","us-west-2"
"EUN1-MP:EUN1_InputTokenCount-Units","78rs41v08o682aebuab075t6n3","Usage","Units","Usage","eu-north-1"
"EU-MP:EU_OutputTokenCount-Units","78rs41v08o682aebuab075t6n3","Usage","Units","Usage","eu-west-1"
"USE2-MP:USE2_CacheReadInputTokenCount-Units","78rs41v08o682aebuab075t6n3","Usage","Units","Usage","us-east-2"
"USE1-MP:USE1_CacheReadInputTokenCount-Units","mrranvtjv73frdrt492b07oio","Usage","Units","InvokeModelInference","us-east-1"
"USW1-Requests-Tier2","AmazonS3","Usage","Requests","ReadLogProps","us-west-1"
"USW2-StateTransition","AmazonStates","Usage","StateTransitions","ExecutionCompleted","us-west-2"
"USE1-DataEventsRecorded","AWSCloudTrail","Usage","Events","None","us-east-1"
"CA-DataTransfer-Out-Bytes","AmazonCloudFront","Usage","GB","GET","ca-central-1"
"USE2-NatGateway-Bytes","AmazonEC2","Usage","GB","NatGateway","us-east-2"
"APS3-Requests-Tier1","AmazonSNS","Usage","Requests","ListTopics","ap-south-1"
"APS3-DataTransfer-In-Bytes","AWSLambda","Usage","GB","Invoke","ap-south-1"
"USW2-EUW2-AWS-Out-Bytes","AmazonS3","Usage","GB","ReadACL","us-west-2"
"APN2-USW2-AWS-Out-Bytes","AmazonEC2","Usage","GB","LoadBalancing-PublicIP-Out","ap-northeast-2"
"EUC1-DataTransfer-Regional-Bytes","AmazonEC2","Usage","GB","PublicIP-In","eu-central-1"
"APS1-APN2-AWS-Out-Bytes","AmazonEC2","Usage","GB","RunInstances","ap-southeast-1"
"eu-west-1-KMS-Requests","awskms","Usage","Requests","Decrypt","eu-west-1"
"APS1-DataTransfer-Out-Bytes","AmazonS3","Usage","GB","ReadBucketServerSideEncryption","ap-southeast-1"
"APS3-USW2-AWS-In-Bytes","AmazonEC2","Usage","GB","LoadBalancing-PublicIP-In","ap-south-1"
"USE1-APS1-AWS-In-Bytes","AmazonRDS","Usage","GB","Not Applicable","us-east-1"
"APN2-CAN1-AWS-Out-Bytes","AmazonEC2","Usage","GB","LoadBalancing-PublicIP-Out","ap-northeast-2"
"us-west-2-KMS-Requests","awskms","Usage","Requests","ListKeyPolicies","us-west-2"
"USE2-Notebk:ml.m4.xlarge","AmazonSageMaker","Usage","Hrs","RunInstance","us-east-2"
"Requests-Tier1","AmazonSNS","Usage","Requests","GetTopicAttributes","us-east-1"
"APS1-USE1-AWS-Out-Bytes","AmazonS3","Usage","GB","ReadBucketServerSideEncryption","ap-southeast-1"
"USE2-Messages","AWSIoT","Usage","Messages","MQTT.Subscribe","us-east-2"
"EU-DataTransfer-Out-Bytes","AmazonS3","Usage","GB","ReadAccelerate","eu-west-1"
"USW2-CW:Requests","AmazonCloudWatch","Usage","","ListMetrics","us-west-2"
"DataTransfer-In-Bytes","AmazonS3","Usage","GB","WriteBucketWebsite","us-east-1"
"EUC1-BoxUsage:c3.8xlarge","AmazonEC2","Usage","Hrs","RunInstances:0002","eu-central-1"
"APS1-USE2-AWS-Out-Bytes","AmazonS3","Usage","GB","ListBucket","ap-southeast-1"
"USE2-APS1-AWS-Out-Bytes","AmazonS3","Usage","GB","CopyObject","us-east-2"
"EU-USW1-AWS-Out-Bytes","AmazonEC2","Usage","GB","RunInstances","eu-west-1"
"ZA-Requests-Tier1","AmazonCloudFront","Usage","Requests","GET","eu-west-2"
"USW2-StateTransition","AmazonStates","Usage","","Task","us-west-2"
"ap-southeast-2-KMS-Keys","awskms","Usage","Keys","Unknown","ap-southeast-2"
"USW2-StateTransition","AmazonStates","Usage","","ExecutionStarted","us-west-2"
"APS3-EUC1-AWS-In-Bytes","AmazonEC2","Usage","GB","RunInstances","ap-south-1"
"EUW2-APN1-AWS-Out-Bytes","AmazonEC2","Usage","GB","PublicIP-Out","eu-west-2"
"USE2-EUC1-AWS-Out-Bytes","AmazonEC2","Usage","GB","RunInstances","us-east-2"
"EUW2-DataTransfer-Regional-Bytes","AmazonEC2","Usage","GB","InterZone-In","eu-west-2"
"EUW3-APN1-AWS-Out-Bytes","AmazonS3","Usage","GB","ReadLocation","eu-west-3"
"APS3-LoadBalancerUsage","AmazonEC2","Usage","Hrs","LoadBalancing:Network","ap-south-1"
"APS1-SAE1-AWS-Out-Bytes","AmazonRDS","Usage","GB","Not Applicable","ap-southeast-1"
"USW1-Requests-Tier1","AmazonS3","Usage","Requests","InitiateMultipartUpload","us-west-1"
"APS1-APS3-AWS-In-Bytes","AmazonRDS","Usage","GB","Not Applicable","ap-southeast-1"
"EUW2-Lambda-GB-Second","AWSLambda","Usage","Lambda-GB-Second","Invoke","eu-west-2"
"USW2-SAE1-AWS-In-Bytes","AmazonEC2","Usage","GB","RunInstances","us-west-2"
"APS3-DataTransfer-Out-Bytes","AmazonS3","Usage","GB","ReadCostAllocation","ap-south-1"
"EUW3-Requests-Tier1","AmazonS3","Usage","Requests","CopyObject","eu-west-3"
"SAE1-DataTransfer-Out-Bytes","AmazonS3","Usage","GB","ReadBucketObjectLockConfig","sa-east-1"
"SAE1-BoxUsage:c3.large","AmazonEC2","Usage","Hrs","RunInstances","sa-east-1"
"APS3-USE2-AWS-In-Bytes","AmazonES","Usage","GB","None","ap-south-1"
"BoxUsage:m4.large","ElasticMapReduce","Usage","Hrs","RunInstances","us-east-1"
"APS2-Requests-Tier1","AmazonS3","Usage","Requests","WriteBucketPublicAccessBlock","ap-southeast-2"
"USE2-APN1-AWS-Out-Bytes","AmazonVPC","Usage","GB","CreateVpnConnection","us-east-2"
"USE2-USW2-AWS-Out-Bytes","AmazonECS","Usage","GB","FargateTask","us-east-2"
"USW1-InstanceUsage:db.m3.large","AmazonRDS","Usage","Hrs","CreateDBInstance:0006","us-west-1"
"APS3-DataTransfer-In-Bytes","AmazonRDS","Usage","GB","CreateDBInstance:0016","ap-south-1"
"EUC1-CAN1-AWS-Out-Bytes","AmazonVPC","Usage","GB","CreateVpnConnection","eu-central-1"
"APE1-EUN1-AWS-Out-Bytes","AmazonEC2","Usage","GB","PublicIP-Out","ap-east-1"
"USE2-CAN1-AWS-In-Bytes","AWSLambda","Usage","GB","Invoke","us-east-2"
"USW2-USE1-AWS-Out-Bytes","AmazonS3","Usage","GB","ReadBucketObjectLockConfig","us-west-2"
"AWS-Auto-Steps-Tier1","AWSSystemsManager","Usage","Steps","CountAutomation","global"
"APS6-ElasticIP:IdleAddress","AmazonEC2","Usage","Hrs","AssociateAddressVPC","ap-southeast-4"
"USE1-UGW1-AWS-Out-Bytes","AmazonEC2","Usage","GB","RunInstances","us-east-1"
"USW2-APE1-AWS-Out-Bytes","AmazonS3","Usage","GB","ReadLocation","us-west-2"
"SAE1-SecurityHubProduct:FreeFindingsIngestion","AWSSecurityHub","Usage","Finding Ingestion Events","NoOperation","sa-east-1"
"EUC1-RDS:ChargedBackupUsage","AmazonRDS","Usage","GB-Mo","CreateDBInstance:0020","eu-central-1"
"EUC1-BoxUsage:t3.medium","AmazonEC2","SavingsPlanCoveredUsage","Hrs","RunInstances","eu-central-1"
"APN2-Requests-Tier1","AmazonSNS","Usage","Requests","ListTagsForResource","ap-northeast-2"
"APS4-Catalog-Request","AWSGlue","Usage","Request","Request","ap-southeast-3"
"EU-APN1-AWS-In-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-In","eu-west-1"
"USE1-APS2-AWS-Out-Bytes","AmazonS3","Usage","GB","ListLensConfigurations","us-east-1"
"ME-Requests-HTTPS-Proxy","AmazonCloudFront","Usage","Requests","POST","me-south-1"
"EUW2-EUC2-AWS-In-Bytes","AmazonEC2","Usage","GB","RunInstances","eu-west-2"
"USE1-EUC1-AWS-Out-Bytes","AmazonS3","Usage","GB","ListLensConfigurations","us-east-1"
"APS3-LAX1-AWS-Out-Bytes","AmazonEC2","Usage","GB","PublicIP-Out","ap-south-1"
"APS3-EUC1-AWS-Out-Bytes","AmazonS3","Usage","GB","HeadBucket","ap-south-1"
"AttachmentsSize-Bytes","AmazonSES","Usage","GB","Send","us-east-1"
"APS3-NodeUsage:cache.m5.large","AmazonElastiCache","Usage","Hrs","CreateCacheCluster:0002","ap-south-1"
"EUC1-DataTransfer-In-Bytes","AmazonDynamoDB","Usage","GB","GetItem","eu-central-1"
"EUC1-USW2-AWS-In-Bytes","AmazonEC2","Usage","GB","RunInstances","eu-central-1"
"EUC1-InstanceUsage:db.t3.large","AmazonRDS","Usage","Hrs","CreateDBInstance:0019","eu-central-1"
"USE1-LAX1-AWS-Out-Bytes","AmazonVPC","Usage","GB","CreateVpnConnection","us-east-1"
"APN1-Requests","AWSCodeArtifact","Usage","Requests","DeleteRepository","ap-northeast-1"
"EUC1-DataTransfer-Regional-Bytes","AmazonVPC","Usage","GB","VpcEndpoint","eu-central-1"
"APN2-APS2-AWS-In-Bytes","AmazonS3","Usage","GB","PutObject","ap-northeast-2"
"APE1-Requests-Tier1","AmazonS3","Usage","Requests","ListBucketVersions","ap-east-1"
"EU-AWSSecretsManager-APIRequests","AWSSecretsManager","Usage","API Requests","DeleteSecret","eu-west-1"
"EUC1-EU-AWS-Out-Bytes","AmazonS3","Usage","GB","ReadCostAllocation","eu-central-1"
"USE1-USE2-AWS-Out-Bytes","AmazonS3","Usage","GB","ReadAccelerate","us-east-1"
